partner_name,address,city,state,county,partner_type
"Brain Injury Association of America, Tennessee Chapter","2417 Deerbourne Drive, Brentwood, TN, USA",Brentwood,Tennessee,Williamson,medical_health
Branches Recovery Centers / Branches Counseling Center,1102 Dow Street,Murfreesboro,Tennessee,Rutherford,medical_health
Bravo Creative Arts Center,"2227 Hillsboro Rd, Franklin, TN 37069, USA",Franklin,Tennessee,Williamson,other
Braxton Lee Homestead Foundation,P.O. Box 632,Ashland City,Tennessee,Cheatham,other
Break Away,718 Holder Dr,Nashville,Tennessee,Davidson,other
Breaking The SSickle Cell Cycle Foundation,P.O. Box 218554,Nashville,Tennessee,Davidson,medical_health
Breakthrough T1D,"2 Maryland Farms, Brentwood, TN, USA",Brentwood,Tennessee,Williamson,medical_health
Breast Cancer Recovery In Action,"100 Powell Place suite 1023, Nashville, TN, USA",Nashville,Tennessee,Davidson,medical_health
Brendas Boxes of Blessings,"1040 Secretariat Drive, Mt. Juliet, TN, USA",Mt. Juliet,Tennessee,Wilson,community_meals
Brentwood-Franklin Woman's Service Club,PO BOX 964,Brentwood,Tennessee,Williamson,community_development
Bridge Family Ministries,"232 Applewood Ln, Murfreesboro, TN 37127, USA",Murfreesboro,Tennessee,Rutherford,other
Bridges for the Deaf and Hard of Hearing,"935 Edgehill Ave, Nashville, TN 37203, USA",Nashville,Tennessee,Davidson,medical_health
Bridges of Williamson County / Bridges Domestic Violence Center,"Williamson County, TN, USA",Franklin,Tennessee,Williamson,transitional_housing
Bright Heart Foundation,P.O. Box 3463,Brentwood,Tennessee,Williamson,other
Brighten Up Nashville,"1091 Sandy Valley Rd, Hendersonville, TN 37075, USA",Hendersonville,Tennessee,Sumner,community_development
BrightStone,"3000 Brightstone Pkwy, Franklin, TN, USA",Franklin,Tennessee,Williamson,medical_health
Broken Restored Redeemed Ministries,425 south water ave,gallatin,Tennessee,Sumner,other
Brooklyn Heights Community Garden,"1833 Haynes Street, Nashville, TN, USA",Nashville,Tennessee,Davidson,community_development
Buchanan Arts,"1409 Buchanan St, Nashville, TN 37208, USA",Nashville,Tennessee,Davidson,other
Building Entrepreneurs for Success in Tennessee,PO Box 90834,Nashville,Tennessee,Davidson,workforce_development
Building Life Opportunities and Options for Mothers,"7622 Bidwell Rd, Joelton, TN 37080, USA",Joelton,Tennessee,Davidson,transitional_housing
Building Lives Foundation / We Are Building Lives,"3541 Wood Bridge Dr, Nashville, TN, USA",Nashville,Tennessee,Davidson,other
Byrum-Porter Senior Center,"9123 Hwy 49 E, Orlinda, TN 37141, USA",Orlinda,Tennessee,Robertson,senior_services
CABLE Foundation,2802 Bransford Ave,Nashville,Tennessee,Davidson,workforce_development
Caleb Global,"3511 Refuge Trail, Thompson's Station, TN, USA",Thompson's Station,Tennessee,Williamson,other
Camp Kesem,PMB 350008,Nashville,Tennessee,Davidson,school_summer
Camp Marymount,1318 Fairview Blvd.,Fairview,Tennessee,Williamson,school_summer
Can'd Aid,1020 3rd Ave,Nashville,Tennessee,Davidson,other
Carnegie Writers,"1906 Glen Echo Rd, Nashville, TN 37215, USA",Nashville,Tennessee,Davidson,other
Carpe Artista,1334 Hazelwood Drive,Smyrna,Tennessee,Rutherford,after_school
Carrie Mae Williams Center,904 Arbor Creek Way,Nashville,Tennessee,Davidson,community_development
CASA Nashville,"340 21st Ave N, Nashville, TN 37203, USA",Nashville,Tennessee,Davidson,other
CASA of Robertson County,"4917 U.S. 41, Springfield, TN, USA",Springfield,Tennessee,Robertson,other
CASA of Rutherford County,"1815 Lascassas Pike, Murfreesboro, TN, USA",Murfreesboro,Tennessee,Rutherford,other
Cat Colony Food Pantry,"620 Hamilton Ave, Nashville, TN 37203, USA",Nashville,Tennessee,Davidson,other
Catalyst Sports,3201 Aspen Grove Dr.,Franklin,Tennessee,Williamson,other
CATHARSIS Nashville,"762 E Argyle Ave, Nashville, TN, USA",Nashville,Tennessee,Davidson,other
"Catholic Charities, Diocese of Nashville","2806 McGavock Pk, Nashville, TN 37214, USA",Nashville,Tennessee,Davidson,community_development
Catholic Comfort Care Homes / Heart of Mary House,"6107 New York Ave, Nashville, TN 37209, USA",Nashville,Tennessee,Davidson,senior_services
Catholic Media Productions / Nashville Catholic Radio,"2800 McGavock Pk, Nashville, TN 37214, USA",Nashville,Tennessee,Davidson,other
CCSI Group,101 Creekside Crossing,Brentwood,Tennessee,Williamson,other
Cedar Seniors,226 University Ave,Lebanon,Tennessee,Wilson,senior_services
Cedarcroft Home,"202 S College St, Charlotte, NC 28202, USA",Lebanon,TN,Wilson,senior_services
Centennial Park Conservancy,"2565 Park Plaza, Nashville, TN 37203, USA",Nashville,Tennessee,Davidson,other
Center For Living and Learning,"1979 Old Hillsboro Rd, Franklin, TN 37064, USA",Franklin,Tennessee,Williamson,workforce_development
Center for Nonprofit Excellence of Middle Tennessee,"1610 54th Ave N, Nashville, TN 37209, USA",Nashville,Tennessee,Davidson,community_development
Center for the Arts,"110 West College Street, Murfreesboro, TN, USA",Murfreesboro,Tennessee,Rutherford,other
Centerstone Foundation,"1921 Ransom Pl, Nashville, TN 37217, USA",Nashville,Tennessee,Davidson,medical_health
Central Magnet School Parent Teacher Organization,701 E Main St,Murfreesboro,Tennessee,Rutherford,school_summer
Change Plus Plus,"2817 West End Ave, Nashville, TN 37203, USA",Nashville,Tennessee,Davidson,other
Charcot-Marie-Tooth Association,1215 21st Ave S #9211,Nashville,Tennessee,Davidson,medical_health
Charis Health Center,"2620 N Mt Juliet Rd, Mt. Juliet, TN 37122, USA",Mount Juliet,Tennessee,Wilson,medical_health
Charis Ministries,P.O. Box 40662,Nashville,Tennessee,Davidson,other
Chatterbird,1409 Winthorne Drive,Nashville,Tennessee,Davidson,other
Cheatham County Animal Awareness Foundation,P.O. Box 361,Pegram,Tennessee,Cheatham,other
Cheatham County Historical and Genealogical Association,"835 S Main St, Ashland City, TN 37015, USA",Ashland City,Tennessee,Cheatham,other
Cheatham County Lions Charities,PO Box 41,Ashland City,Tennessee,Cheatham,other
Cheatham County Ministerial Alliance,"124 N Main St, Ashland City, TN 37015, USA",Ashland City,Tennessee,Cheatham,other
Cheekwood Botanical Gardens and Museum of Art,"1200 Forrest Park Dr, Nashville, TN 37221, USA",Nashville,Tennessee,Davidson,other
