address,latitude,longitude
"2110 Blair Blvd, Nashville, Tennessee, USA",36.1304448,-86.8023495
"110 Jo Johnston Ave, Nashville, Tennessee, USA",36.1706468,-86.7793807
"5424 Bell Forge Lane East, Antioch, TN, USA",36.0484489,-86.6451283
"5987 Lebanon Road, Murfreesboro, TN, USA",35.9022331,-86.3836293
"1917 Adelicia Street, Nashville, Tennessee, USA",36.1480071,-86.7977703
"303 Madison Street, Tennessee, USA",36.2584699,-86.7143892
"2424 Charlotte Avenue, Nashville, TN, USA",36.1556307,-86.8107872
"407 River Downs Blvd, Murfreesboro, Tennessee, USA",35.7965788,-86.4353824
"2324 Alteras Drive, Nashville, Tennessee, USA",36.0229236,-86.7024369
"1423 Kensington Square Ct, Murfreesboro, TN 37130, USA",35.8141039,-86.370239
"278 Doug Warpoole Road, Smyrna, Tennessee, USA",36.0096195,-86.5166523
"300 Danyacrest Drive, Nashville, Tennessee, USA",36.1813111,-86.6470467
"428 East Bell Street, Murfreesboro, TN, USA",35.8493575,-86.385643
"805 West End Circle, Franklin, TN, USA",35.9179383,-86.8859149
"522 Castle Heights Ave, Lebanon, TN 37087, USA",36.1999062,-86.309064
"2500 Fairfax Avenue, Nashville, Tennessee, USA",36.135122,-86.810526
"121 Holly Forest, Nashville, TN, USA",36.0741277,-86.9149696
"4416 Saunders Ave, Nashville, Tennessee, USA",36.2337767,-86.7319598
"3115 Gallatin Pike, Nashville, Tennessee, USA",36.2052968,-86.7375281
"419 Woodland Street, Nashville, TN, USA",36.1714151,-86.7660839
"3926 Gallatin Pike, Nashville, TN 37216, USA",36.217445,-86.7284998
"1601 Eastland Avenue, Nashville, TN, USA",36.1836671,-86.7405536
"2910 Poston Avenue, Nashville, TN, USA",36.1458058,-86.8143388
"4636 Lebanon Pike #374, Hermitage, Tennessee, USA",36.2014748,-86.6175364
"1360 Murfreesboro Pike, Nashville, TN 37217, USA",36.1161345,-86.6965272
"377 Riverside Drive, Franklin, TN, USA",35.9116846,-86.8262213
